title,creator,description,date,type,format,link,cdmid
Caterpillar Club Card,Caterpillar Club,"Showing signature of Mark Calnon, saved life by parachute.",1943,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/43,43
384th Window Pamphlet,USAF,Document explaining the window dedicated to the 384th.,1989,Text,application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/44,44
POW Dog Tag (Calnon),German Govt. ?,"Calnon POW Dog Tag, Stalag Luft III.",1943,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/45,45
USAF Dog Tag (Calnon),USAF,One standard issue WWII dog tag.,1941,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/46,46
Graduation Portrait,Mark Calnon,Graduation photograph of Mark Calnon from Uidaho,1941,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/47,47
Air Medal,USAF,USAF medal awarded to Calnon for being a POW.,1945,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/48,48
B17 Exterior Photo 2,Mark Calnon,Photograph of the exterior of exhibition B18,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/49,49
B17 Cockpit,Mark Calnon,Photograph of B17 cockpit from exhibition B17,1980,Image;StillImage,image/jpg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/50,50
Calnon Camp Map w/ Notes,Mark Calnon,Map of Stalag Luft III with notes of being a prisoner.,1995,Text,application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/51,51
"Mark Calnon, Oral History Interview by Denise Bennett","Calnon, Mark; Bennett, Denise",An interview with Mark Calnon regarding his personal history as a WWII pilot and Prisoner of War,2013-08-13,Text,application/pdf,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/52,52
