id,link,type,cdmid,title,format,rights,description,publisher,date,source,keywords,coverage,aprox,latitude,longitude,relation
Gale_WI&M Railroad_45a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/10,Image;StillImage,10,Longest Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"The longest train made it to the siding along the mill pond. A group of men can be seen sitting and standing on a stack of longs. A signs saying 'Potlatch LBR. Co. 1,110,000 Ft.' is also on the stack of logs.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",logs; men,United States--Idaho--Latah County--Potlatch,yes,,,Potlatch Corp.
Gale_WI&M Railroad_45b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/11,Image;StillImage,11,Longest Logging Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,View of a train of logs for the Potlatch Lumber Company. The train consisted of 105 cars and measured one mile in length. A few men can be seen standing next to the locomotive.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",trains; logging,United States--Idaho--Latah County--Potlatch,yes,46.925009,-116.895387,
Gale_WI&M Railroad_46a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/12,Image;StillImage,12,Logging Train,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,Stacks of logs on railroad flats being pulled on a railroad track.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",railroads; logs,United States--Idaho--Latah County--Potlatch,yes,,,Gale File
Gale_DeepCreek1-22b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/13,Image;StillImage,13,Zimmerman Family,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"The Zimmer family standing togather.  Randolph Jr., Rudolph Sr., Bill, Eliza (Thachsel), Elizabeth.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1908,"Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",,United States--Idaho--Latah County--Deep Creek,yes,,,
Gale_WI&M Railroad_46b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/14,Image;StillImage,14,WI&M Yards,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"View of the WI&M yards at Potlatch, Idaho, when looking north. Freight and logging trains can be seen pulling up to the depot, which is located on the right.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",railroads; stations,United States--Idaho--Latah County--Potlatch,yes,46.925009,-116.895387,Gale File
Gale_WI&M Railroad_47a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/15,Image;StillImage,15,WI&M Wreck,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,Train wreck on the WI&M line between Potlatch and Palouse. Railroad cars can be seen laying next to the track and men can be seen cleaning up after the wreck.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913-03-02,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",railroads; wrecks,United States--Washington--Whitman County--Palouse,y,46.935225,-116.946555,Gale File
Gale_WI&M Railroad_47b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/16,Image;StillImage,16,"Old '21' Wreck",image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"An old '21' in trouble in the yard at Potlatch, The locomotive can be seen derailed into the snow. A few men can be seen standing on the tracks and next to the locomotive. The men standing at the lest looking on is Geo. Hudson.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1915,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",locomotives; wrecks,United States--Idaho--Latah County--Potlatch,yes,46.925009,-116.895387,Gale File
Gale_WI&M Railroad_48a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/17,Image;StillImage,17,"Old '22'",image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"An old '22' locomotive taking a break at a station, after a run to Bovill and back. Snow can be seen surrounding the tracks and icicles can be seen hanging off the station's roof.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1915,"Lee Gale Scapbooks: WI&W Railroad, Potlatch Historical Society",locomotives; stations; railroads,United States--Idaho--Latah County--Potlatch,yes,,,Gale File
Gale_Timber and Logging_01,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/18,Image;StillImage,18,Idaho White Pine,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Three men sitting at the base of an Idaho white pine in the St. Joe and Clearwater National Forests, which was the incentive behind Potlatch Lumber Co.'s investment and operations.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County--St. Joe National Forest,yes,47.002886,-116.513525,Potlatch Corp.
Gale_Timber and Logging_04a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/19,Image;StillImage,19,Forests,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Four men standing at the base of a few trees in Sec. 34, T42, R1W.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County,yes,,,Potlatch Corp.
Gale_Timber and Logging_10a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/20,Image;StillImage,20,Logging Camp,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a logging camp, that is located where Harvard, Idaho is now Many log cabins can be seen standing in a row.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1905,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; log cabins,United States--Idaho--Latah County--Harvard,yes,46.918141,-116.729174,Potlatch Corp.
Gale_Timber and Logging_10b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/21,Image;StillImage,21,Logging Camp,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of an early PLC logging camp. A group of people, including Art Henderson, are standing in front of a log cabin at the camp. One of the cooks can be seen holding a horn.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1905,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; log cabins,United States--Idaho--Latah County,yes,,,Potlatch Corp.
Gale_Timber and Logging_03,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/22,Image;StillImage,22,Idaho White Pines and Cedar,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Four men standing at the base of a few Idaho White Pine trees and cedar trees in Sec. 33, T42N, 1W; around Beals Butte.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County,yes,46.943700,-116.505442,Potlatch Corp.
Gale_Timber and Logging_06,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/23,Image;StillImage,23,Collins Area,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a place that was owned by Mr. Sam Frei. The place was located in the Collins area, which is north of Bovill, Idaho. Children, dogs, and men on horses can be seen standing around outside the building. A group of trees can also be seen behind the buildings.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",buildings; children; horses,United States--Idaho--Latah County--Bovill,yes,46.860699,-116.394477,
Gale_DeepCreek1-23a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/24,Image;StillImage,24,McMahama Place,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,The John McMahama Place - Fritz Leistner digging potatoes.  Photograph taken about 1920.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1920,"Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",,United States--Idaho--Latah County--Deep Creek,yes,,,
Gale_Timber and Logging_07a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/25,Image;StillImage,25,Wash Day,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Three women, two men, and a boy can be seen washing laundry during wash day at the Collins area. They can be seen using washtubs and a washboard.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",washtubs,United States--Idaho--Latah County--Bovill,yes,46.860699,-116.394477,
Gale_Timber and Logging_09,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/26,Image;StillImage,26,Winter Logging,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Three men standing at the base of a Idaho white pine tree during winter logging. Two men can be seen holding a crosscut saw, seemingly cutting the tree down.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1900,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",crosscut saws; men; trees; logging,United States--Idaho--Latah County,yes,,,Potlatch Corp.
Gale_Timber and Logging_05a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/27,Image;StillImage,27,Forests,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Four men standing at the base of a few trees in Sec. 34, T42, 1W.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County,yes,,,Potlatch Corp.
Gale_Timber and Logging_04b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/28,Image;StillImage,28,Forests,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"A man standing at the base of a few trees in Sec. 34, 42, 1W.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County,yes,,,Potlatch Corp.
Gale_Timber and Logging_05b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/29,Image;StillImage,29,Bovill Timber,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,Three men standing at the base of a tree at Bovill Timber.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County--Bovill,yes,46.859994,-116.388914,Potlatch Corp.
Gale_Timber and Logging_07b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/30,Image;StillImage,30,Milwaukee Railroad Bed,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View looking south of the Milwaukee railroad bed, which is north of Bovill, Idaho. The Collins place can be seen amongst the trees.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1908,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",railroads; forests,United States--Idaho--Latah County--Bovill,yes,46.870638,-116.397572,
Gale_Timber and Logging_13a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/31,Image;StillImage,31,Forests,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,Three men standing at the base of a tree.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; forests,United States--Idaho--Latah County,yes,,,Potlatch Corp.
Gale_Timber and Logging_11,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/32,Image;StillImage,32,School House,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of the school house at Collins area, which is north of Bovill, Idaho. A woman and two children can be seen standing outside the school house.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",schoolhouses,United States--Idaho--Latah County--Bovill,yes,46.86126,-116.394727,Potlatch Corp.
Gale_Timber and Logging_08,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/33,Image;StillImage,33,Grizzly Camp,image/jpg,https://rightsstatements.org/vocab/InC-EDU/1.0/,"View of the 'old road' going into Grizzly Camp, which is now known as Laird Park. The road is lined with trees.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1925,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",roads; parks,United States--Idaho--Latah County,yes,46.940185,-116.645497,
Gale_Timber and Logging_12b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/34,Image;StillImage,34,Elk Herd,image/jpg,https://rightsstatements.org/vocab/InC-EDU/1.0/,"View of a small elk herd being reintroduced in Latah County at Bovill, Idaho.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1930,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",elk; herds,United States--Idaho--Latah County--Bovill,yes,46.860626,-116.394492,
Gale_DeepCreek1-23b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/35,Image;StillImage,35,Zimmerman Place,image/jpeg,https://creativecommons.org/publicdomain/mark/1.0/,"Mrs. Zimmerman with Bill, Randolph, Elizabeth, and Mr. Zimmerman standing in front of the Zimmerman place.  Mr. Zimmerman is holind the reins of several horses. Photograph taken in 1909.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1909,"Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",,United States--Idaho--Latah County--Deep Creek,yes,,,
Gale_Timber and Logging_12a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/36,Image;StillImage,36,Log Deck,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,View of the log deck covered with stacks of logs.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",logs,United States--Idaho--Latah County,yes,,,
Gale_Timber and Logging_02,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/37,Image;StillImage,37,Forests,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,Four men can be seen standing at the base of a few trees in a forest. One man can be seen holding a crosscut saw up next to one of the tree's trunks.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1913,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men; crosscut saws,United States--Idaho--Latah County,yes,,,Gale File
Gale_Timber and Logging_13b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/38,Image;StillImage,38,Crooks and Wrights Sawmill,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of the pond and log deck of the early day Crooks and Wrights Sawmill, which is located a few miles north of Potlatch.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1918,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",ponds; logs,United States--Idaho--Latah County--Potlatch,yes,46.924994,-116.895361,Gale File
Gale_Timber and Logging_14,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/39,Image;StillImage,39,Old Ponderosa Pine,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Two men standing at the base of an old ponderosa pine, located in the mill yard at Potlatch, Idaho.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1906-01-26,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",trees; men,United States--Idaho--Latah County--Potlatch,,46.924994,-116.895361,
Gale_Timber and Logging_15a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/40,Image;StillImage,40,Ponderosa Pine Skid,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"A group of men standing around next to a few horses. The horses are pulling a ponderosa pine on a skid. The men left to right are John Adair, Pete Clyde, Frank Adair Jr., Bill Edmundsen, and Bud Adair.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1904,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",men; horses,United States--Idaho--Latah County--Potlatch,yes,46.929264,-116.933486,Gale Files
Gale_Timber and Logging_15b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/41,Image;StillImage,41,Ponderosa Pine Skid,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"An explanation of a photo showing a group of horses pulling an old ponderosa pine from Potlatch junction to Palouse, Washington.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1904,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",men; horses,United States--Idaho--Latah County--Potlatch,yes,46.929264,-116.933486,Gale Files
Gale_Timber and Logging_16a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/42,Image;StillImage,42,Ponderosa Pine,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Ray Smith bucking a ponderosa pine on his place, which is located approximately two and a half miles south of Potlatch, Idaho. A horse can be seen standing behind the log.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",logs; horses,United States--Idaho--Latah County--Potlatch,yes,46.916105,-116.897608,
Gale_Timber and Logging_16b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/43,Image;StillImage,43,Ponderosa Pine,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Ray Smith riding on top of a ponderosa pine, which is being pulled by two horses. Ray got about six dollars for this log.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",logs; horses,United States--Idaho--Latah County,yes,,,
Gale_Timber and Logging_17,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/44,Image;StillImage,44,Log Drive,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a log drive on the Palouse River, near Elberton, Washington. A bunch of men can be seen moving logs from a forest to a sawmill. A group of houses and a few fields can be seen in the background.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",rivers; logs; men,United States--Washington--Whitman County--Elberton,yes,46.981901,-117.22048,
Gale_Timber and Logging_18a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/45,Image;StillImage,45,Camp 1,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of Camp 1, located near Hatter Creek. A group of log cabins can be seen surrounded by trees. Camp 1 may have been moved a time or two.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; log cabins,United States--Idaho--Latah County--Princeton,yes,46.906079,-116.842737,Gale Files
Gale_DeepCreek1-22a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/46,Image;StillImage,46,Birthday Dinner for Zimmer,image/jpeg,https://rightsstatements.org/vocab/InC-EDU/1.0/,"An article about the 90th birthday dinner for Rudolph W. Zimmer to be held on Sunday, April 23 1989.  Taken from the Idahonian/Daily News April 15&16 1989.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1989-04-15,"Lee Gale Scapbooks: Deep Creek 1, Potlatch Historical Society",,United States--Idaho--Latah County--Deep Creek,,,,
Gale_Timber and Logging_18b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/47,Image;StillImage,47,Rail Camp Cars,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,View of a few rail camp cars.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",camps; railroad cars,United States--Idaho--Latah County,yes,,,Gale Files
Gale_Timber and Logging_19a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/48,Image;StillImage,48,Camp 1,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a railroad track running through Camp 1, which is located on Hatter Creek. A few railroad cars can be seen behind the tracks.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",railroads cars; railroads,United States--Idaho--Latah County--Princeton,yes,46.906079,-116.842737,
Gale_Timber and Logging_19b,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/49,Image;StillImage,49,PLC Camp,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,A group of men can be seen standing with  horses at a PLC camp.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; horses,United States--Idaho--Latah County,yes,,,
Gale_Timber and Logging_20,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/50,Image;StillImage,50,PLC Camp,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,A group of men holding food and drinks outside a log cabin at a PLC camp.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; log cabins; men,United States--Idaho--Latah County,yes,,,
Gale_Timber and Logging_21,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/51,Image;StillImage,51,Camp Cookhouse,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,The cooking crew standing in front of a cookhouse at a Hatter Creek camp. A dog can be seen standing under a large triangle.,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1910,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; cooks,United States--Idaho--Latah County--Princeton,yes,46.906079,-116.842737,
Gale_Timber and Logging_22a,https://digital.lib.uidaho.edu:80/cdm/ref/collection/phs/id/52,Image;StillImage,52,PLC Camp,image/jpg,https://creativecommons.org/publicdomain/mark/1.0/,"View of a group of people standing outside a log cabin at a PLC camp, located around Princeton-Harvard, Idaho.","University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",1907,"Lee Gale Scrapbooks: Timber and Logging, Potlatch Historical Society",lumber camps; log cabins,United States--Idaho--Latah County--Harvard,yes,46.920622,-116.781587,Potlatch Corp.
